City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Wind Direction,Weather,Country,Date
178,Fortuna,40.5982,-124.1573,47.66,94,0,4.61,120,clear sky,US,2022-03-19 05:51:18
179,Tiksi,71.6872,128.8694,7.11,76,100,26.96,209,overcast clouds,RU,2022-03-19 05:53:49
180,Kurumkan,54.3,110.3,16.11,77,98,1.83,171,overcast clouds,RU,2022-03-19 05:53:49
181,San Pedro,14.35,121.0167,92.43,57,40,4.61,0,scattered clouds,PH,2022-03-19 05:53:50
182,Airai,-8.9266,125.4092,70.97,82,99,1.05,239,overcast clouds,TL,2022-03-19 05:53:50
183,Victoria,22.2855,114.1577,84.25,87,20,1.99,234,few clouds,HK,2022-03-19 05:49:22
184,Sikonge,-5.6333,32.7667,68.97,85,59,2.42,131,broken clouds,TZ,2022-03-19 05:53:51
185,Birao,10.2849,22.7882,72.46,12,27,8.99,96,scattered clouds,CF,2022-03-19 05:53:52
186,Porto Belo,-27.1578,-48.5531,74.25,96,100,7.56,224,light rain,BR,2022-03-19 05:53:52
187,Tasiilaq,65.6145,-37.6368,4.95,92,74,6.24,358,broken clouds,GL,2022-03-19 05:53:53
188,Emirdag,39.0197,31.15,20.41,67,94,14.58,356,overcast clouds,TR,2022-03-19 05:53:53
189,Manjakandriana,-18.9167,47.8,65.89,86,100,2.93,92,overcast clouds,MG,2022-03-19 05:54:54
190,Chilakalurupet,16.0833,80.1667,94.73,36,27,11.56,174,scattered clouds,IN,2022-03-19 05:54:54
191,Oktyabrskiy,54.4815,53.471,27.7,92,100,4.56,318,overcast clouds,RU,2022-03-19 05:54:55
192,Doka,13.5167,35.7667,84.9,25,53,9.48,32,broken clouds,SD,2022-03-19 05:54:55
193,Ibipeba,-11.6408,-42.0111,65.44,90,45,7.61,142,scattered clouds,BR,2022-03-19 05:54:55
194,Khatanga,71.9667,102.5,17.71,94,85,7.85,265,overcast clouds,RU,2022-03-19 05:54:56
195,Constitucion,-35.3333,-72.4167,60.93,42,100,6.35,160,overcast clouds,CL,2022-03-19 05:51:37
196,Jinchang,38.4953,102.1739,50.5,33,44,12.86,1,scattered clouds,CN,2022-03-19 05:54:57
197,Raudeberg,61.9875,5.1352,42.87,73,67,27.98,169,broken clouds,NO,2022-03-19 05:54:57
198,Quatre Cocos,-20.2078,57.7625,86.09,70,64,5.03,352,broken clouds,MU,2022-03-19 05:52:08
199,Chaiyo,14.6764,100.4686,98.24,32,76,4.99,164,broken clouds,TH,2022-03-19 05:54:58
200,Miyazu,35.5333,135.1833,43.0,89,100,6.93,337,moderate rain,JP,2022-03-19 05:54:59
201,Ginda,30.6945,78.4932,79.92,18,3,7.61,218,clear sky,IN,2022-03-19 05:55:00
202,Praia Da Vitoria,38.7333,-27.0667,50.25,87,75,29.17,335,broken clouds,PT,2022-03-19 05:55:00
203,East London,-33.0153,27.9116,70.74,88,0,6.91,10,clear sky,ZA,2022-03-19 05:52:25
204,Severo-Kurilsk,50.6789,156.125,32.77,95,100,18.61,84,light snow,RU,2022-03-19 05:54:56
205,Riverton,40.5219,-111.9391,45.25,55,0,5.99,119,clear sky,US,2022-03-19 05:55:01
206,Sungairaya,0.7,108.9,87.04,62,91,4.05,275,overcast clouds,ID,2022-03-19 05:55:01
207,Trincomalee,8.5711,81.2335,87.66,62,5,4.81,219,clear sky,LK,2022-03-19 05:55:02
208,Fort-Shevchenko,44.5086,50.263,33.35,67,14,16.33,60,few clouds,KZ,2022-03-19 05:55:02
209,Douentza,14.9951,-2.9517,79.2,14,63,4.81,347,broken clouds,ML,2022-03-19 05:55:03
210,Canavieiras,-15.675,-38.9472,73.18,92,51,2.51,180,broken clouds,BR,2022-03-19 05:50:53
211,Dunedin,-45.8742,170.5036,56.8,77,82,8.01,10,broken clouds,NZ,2022-03-19 05:55:04
212,Nome,64.5011,-165.4064,-16.1,99,7,6.87,329,clear sky,US,2022-03-19 05:55:04
213,Chlorakas,34.8042,32.4083,47.28,49,75,5.75,340,broken clouds,CY,2022-03-19 05:55:05
214,Great Yarmouth,52.6083,1.7305,45.45,89,1,16.26,88,clear sky,GB,2022-03-19 05:55:05
215,Leningradskiy,69.3833,178.4167,-11.13,80,0,4.47,197,clear sky,RU,2022-03-19 05:55:06
216,Jalu,29.0331,21.5482,54.32,57,41,19.75,91,scattered clouds,LY,2022-03-19 05:55:06
217,Sonqor,34.7837,47.6004,38.7,35,46,5.7,184,scattered clouds,IR,2022-03-19 05:55:07
218,Matamoros,25.5333,-103.25,59.67,28,18,6.55,63,few clouds,MX,2022-03-19 05:55:07
219,Antas,41.7364,-8.3089,49.68,72,84,4.54,87,broken clouds,PT,2022-03-19 05:55:08
220,Haicheng,40.8516,122.7475,37.31,32,23,16.69,6,few clouds,CN,2022-03-19 05:55:08
221,Russell,32.3502,-85.1999,63.68,93,100,11.5,180,overcast clouds,US,2022-03-19 05:55:09
222,Cabedelo,-6.9811,-34.8339,75.87,79,67,5.75,124,broken clouds,BR,2022-03-19 05:55:09
223,Dzaoudzi,-12.7887,45.2699,85.89,70,0,3.44,290,clear sky,YT,2022-03-19 05:55:10
224,Luderitz,-26.6481,15.1594,71.08,70,8,8.19,160,clear sky,NA,2022-03-19 05:55:10
225,Geraldton,-28.7667,114.6,86.41,48,100,24.16,190,overcast clouds,AU,2022-03-19 05:54:36
226,Peruibe,-24.32,-46.9983,76.59,84,97,4.41,301,overcast clouds,BR,2022-03-19 05:55:11
