City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
542,Aviles,ES,52.38,clear sky,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
544,Carauari,BR,72.68,overcast clouds,-4.8828,-66.8958,Hotel Fellip
548,Vestmanna,FO,47.32,overcast clouds,62.1564,-7.1664,Vestmanna Camping
556,Katsuura,JP,62.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
557,Zabol,AF,62.35,clear sky,32.25,67.25,
558,Elat,IL,58.5,clear sky,29.5581,34.9482,Club Hotel Eilat
562,Te Anau,NZ,65.8,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
567,Puquio,PE,50.27,overcast clouds,-14.7,-74.1333,Hostal Jousef
569,Samfya,ZM,67.53,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
572,Buin,CL,74.05,broken clouds,-33.7333,-70.75,Paihuen
574,Camapua,BR,71.69,overcast clouds,-19.5314,-54.0439,Comercial Estrela
580,Jiuquan,CN,49.01,overcast clouds,39.7432,98.5174,Jiuquan Hotel
581,Menongue,AO,63.75,few clouds,-14.6585,17.691,Ritz Lauca
583,Rawah,IQ,55.49,overcast clouds,34.4816,41.9093,
584,Rio Verde De Mato Grosso,BR,73.74,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
585,Kushikino,JP,58.08,moderate rain,31.7167,130.2667,Tajiri Inn
588,Dutse,NG,67.51,few clouds,11.7594,9.3392,Central Mosque Galamawa
592,Sydney,AU,73.74,broken clouds,-33.8679,151.2073,The Grace Sydney
599,Vila Velha,BR,74.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
600,Muros,ES,50.16,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
603,Mendota,US,58.01,overcast clouds,36.7536,-120.3816,MAA
604,Trinidad,BO,73.67,overcast clouds,-14.8333,-64.9,Hotel Piesta
607,Cavalcante,BR,67.33,scattered clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
609,Nokaneng,BW,64.74,overcast clouds,-19.6667,22.2667,
611,Tefe,BR,72.5,overcast clouds,-3.3542,-64.7114,Aracati Hotel
612,Cuitareo,MX,50.61,clear sky,19.6167,-100.6,Glamping La Maceta
617,Norwood,US,56.66,clear sky,42.1945,-71.1995,Hilton Boston/Dedham
622,Itapolis,BR,72.7,overcast clouds,-21.5956,-48.8128,Hotel dos Viajantes
625,Castellammare Del Golfo,IT,60.12,overcast clouds,38.0188,12.8858,Cerri Hotel
629,Abu Kamal,SY,55.56,broken clouds,34.4506,40.9171,محطة التلفاز
630,Maraba,BR,73.58,broken clouds,-5.3686,-49.1178,Hotel Del Principe
632,Trairi,BR,74.77,moderate rain,-3.2778,-39.2689,janelas do mar
633,Iringa,TZ,66.04,overcast clouds,-7.7667,35.7,M.R. Hotels ltd.
634,Roald,NO,50.14,clear sky,62.5833,6.1333,Flem Cabins
638,Chimore,BO,72.21,overcast clouds,-16.9833,-65.1333,Bichito
646,Atkinson,US,56.14,broken clouds,42.8384,-71.147,Atkinson Resort & Country Club
649,Eldorado,BR,70.18,light rain,-23.7869,-54.2836,Villa Verde Hotel
650,Araouane,ML,68.81,clear sky,18.9048,-3.5265,
657,Goya,AR,59.34,scattered clouds,-29.14,-59.2626,Apart Costanera Goya
660,Nagua,DO,72.37,clear sky,19.3832,-69.8474,Hotel Cambri
662,Harrison,US,64.47,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
663,Yinchuan,CN,47.73,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
664,Iberia,US,62.56,few clouds,29.9502,-91.7507,back to back rv park
668,Saurimo,AO,64.99,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
670,Buraydah,SA,67.93,clear sky,26.326,43.975,Mövenpick Qassim
673,Agadez,NE,68.72,few clouds,19.75,10.25,
674,Hermiston,US,52.09,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
676,Ahipara,NZ,67.71,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
688,Durant,US,49.51,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
689,San Cristobal,VE,65.5,overcast clouds,7.7669,-72.225,Pirineos
691,Aguimes,ES,59.63,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
693,Olean,US,56.08,light rain,42.0776,-78.4297,Best Western Plus University Inn
694,Buriti,BR,68.22,broken clouds,-22.9302,-45.3881,Pousada Sao Cristovao
695,Iranshahr,IR,70.14,clear sky,27.2025,60.6848,نیک سرشت
696,Riyadh,SA,64.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
697,Catamarca,AR,64.78,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
698,South Lake Tahoe,US,46.26,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
700,Kaifeng,CN,48.45,overcast clouds,34.7911,114.3483,Pullman Kaifeng Jianye
701,Valenca,BR,70.86,scattered clouds,-13.3703,-39.0731,Hotel Galeão
706,Madaoua,NE,70.45,clear sky,14.073,5.96,
707,Richards Bay,ZA,71.37,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
